"zip","schools","numSeats","totPop","kidsUnder3","perCapitaIncome","incomeQuantile","incomeBin","seatsPer100Kids","seatsPerCapita","seatsQuantile","seatsBin"
10454,16,1026,38523,2112,12011,0.0116959064327485,17896,48.5795454545455,0.0266334397632583,0.830409356725146,55.156
10455,15,870,37699,2192,12378,0.0350877192982456,17896,39.6897810218978,0.0230775352131356,0.625730994152047,34.642
10456,25,1608,86121,3733,12071,0.0175438596491228,17896,43.0752745780873,0.0186714041871321,0.713450292397661,55.156
10457,31,1854,69144,4169,12368,0.0292397660818713,17896,44.4710961861358,0.0268136063866713,0.748538011695906,55.156
10458,9,539,73436,3736,12910,0.0526315789473684,17896,14.4271948608137,0.0073397243858598,0.116959064327485,18.066
10459,14,966,45261,2537,12344,0.0233918128654971,17896,38.0764682696098,0.0213428779744151,0.596491228070175,34.642
10460,19,1219,55462,2609,13207,0.0584795321637427,17896,46.7228823303948,0.0219790126573149,0.818713450292398,55.156
10461,12,669,51767,2155,25200,0.467836257309941,26441,31.0440835266821,0.0129232908996079,0.409356725146199,34.642
10462,5,251,75407,3676,20701,0.251461988304094,17896,6.82807399347116,0.00332860344530349,0.0233918128654971,18.066
10463,18,1041,68345,3066,30216,0.637426900584795,26441,33.9530332681018,0.0152315458336382,0.47953216374269,34.642
10465,8,495,42688,1145,30368,0.64327485380117,26441,43.2314410480349,0.0115957646176912,0.719298245614035,55.156
10466,18,1209,72997,3395,19737,0.222222222222222,17896,35.6111929307806,0.0165623244790882,0.52046783625731,34.642
10467,16,870,93833,4482,18252,0.157894736842105,17896,19.4109772423025,0.00927179137403685,0.169590643274854,18.066
10468,14,749,73738,3146,15380,0.105263157894737,17896,23.8080101716465,0.010157584962977,0.245614035087719,18.066
10469,12,744,71245,2346,23527,0.391812865497076,26441,31.7135549872123,0.0104428380939013,0.426900584795322,34.642
10470,1,79,14952,573,27461,0.543859649122807,26441,13.7870855148342,0.00528357410379882,0.111111111111111,18.066
10471,8,570,22222,786,43615,0.812865497076023,63233,72.5190839694656,0.025650256502565,0.970760233918129,55.156
10472,14,917,66041,3476,15246,0.0935672514619883,17896,26.3808975834292,0.0138853136687815,0.280701754385965,18.066
10473,12,733,57444,1984,20570,0.245614035087719,17896,36.945564516129,0.0127602534642434,0.56140350877193,34.642
10474,2,112,12466,744,10212,0.00584795321637427,17896,15.0537634408602,0.00898443767046366,0.12280701754386,18.066
10475,5,362,41377,784,26910,0.526315789473684,26441,46.1734693877551,0.00874882180921768,0.812865497076023,55.156
11001,1,61,26905,908,39692,0.795321637426901,63233,6.71806167400881,0.00226723657312767,0.0175438596491228,18.066
11004,1,79,14050,463,34158,0.730994152046784,63233,17.0626349892009,0.00562277580071174,0.134502923976608,18.066
11101,8,596,23798,973,26584,0.508771929824561,26441,61.2538540596095,0.0250441213547357,0.923976608187134,55.156
11102,6,330,33432,1149,26114,0.497076023391813,26441,28.7206266318538,0.00987078248384781,0.350877192982456,34.642
11103,5,329,36508,962,31601,0.666666666666667,26441,34.1995841995842,0.00901172345787225,0.497076023391813,34.642
11104,7,450,26230,752,29922,0.625730994152047,26441,59.8404255319149,0.0171559283263439,0.91812865497076,55.156
11105,7,465,38103,1019,31655,0.678362573099415,63233,45.6329735034347,0.0122037634831903,0.789473684210526,55.156
11106,9,399,36305,908,28998,0.614035087719298,26441,43.942731277533,0.0109902217325437,0.742690058479532,55.156
11109,1,61,2916,192,83751,0.912280701754386,63233,31.7708333333333,0.0209190672153635,0.43859649122807,34.642
11201,16,899,51356,2060,71739,0.883040935672515,63233,43.6407766990291,0.0175052574188021,0.725146198830409,55.156
11203,25,1419,80337,2983,22242,0.309941520467836,17896,47.5695608447871,0.0176630942156167,0.824561403508772,55.156
11204,17,1010,78690,3660,19503,0.204678362573099,17896,27.5956284153005,0.0128351760071165,0.321637426900585,18.066
11205,10,637,38997,2371,24779,0.444444444444444,26441,26.86630113876,0.0163345898402441,0.292397660818713,18.066
11206,23,1525,79674,4093,15008,0.0818713450292398,17896,37.2587344246274,0.0191404975274243,0.573099415204678,34.642
