ZIP,Dependents,AGI,NumReturns,AvgAGI
10977,"30,000","1,258,091","24,790"," 50,750 "
10980,"4,150","548,700","7,010"," 78,274 "
10983,"1,920","278,674","2,930"," 95,111 "
10984,800,"104,364","1,310"," 79,667 "
10985,100,"11,843",180," 65,794 "
10986,540,"79,493",900," 88,326 "
10987,940,"299,619","1,820"," 164,626 "
10989,"2,650","425,009","4,940"," 86,034 "
10990,"5,970","951,957","9,660"," 98,546 "
10992,"3,110","343,172","4,770"," 71,944 "
10993,"1,690","110,282","2,480"," 44,469 "
10994,"2,470","415,159","3,820"," 108,680 "
10996,"1,410","78,693","1,250"," 62,954 "
10998,"1,210","108,274","1,500"," 72,183 "
11001,"8,700","1,119,857","13,660"," 81,981 "
11003,"16,350","1,132,574","23,190"," 48,839 "
11004,"3,600","420,532","6,690"," 62,860 "
11005,40,"175,556","1,470"," 119,426 "
11010,"7,110","865,102","12,340"," 70,106 "
11020,"2,160","544,253","3,020"," 180,216 "
11021,"5,020","1,487,934","9,290"," 160,165 "
11023,"3,320","673,720","3,910"," 172,307 "
11024,"2,620","1,041,337","3,190"," 326,438 "
11030,"6,160","2,713,441","8,510"," 318,853 "
11040,"13,780","1,932,665","20,930"," 92,339 "
11050,"9,310","2,546,778","14,680"," 173,486 "
11096,"2,940","140,717","3,780"," 37,227 "
11101,"7,060","972,808","15,150"," 64,212 "
11102,"8,990","890,292","19,520"," 45,609 "
11103,"7,900","954,858","20,780"," 45,951 "
11104,"6,630","765,714","15,070"," 50,810 "
11105,"7,510","1,011,364","19,470"," 51,945 "
11106,"8,940","1,037,235","21,910"," 47,341 "
11109,700,"462,014","3,460"," 133,530 "
11201,"9,980","5,112,729","29,680"," 172,262 "
11203,"24,440","1,346,763","36,830"," 36,567 "
11204,"29,280","1,606,891","31,820"," 50,499 "
11205,"14,390","1,005,664","18,110"," 55,531 "
11206,"28,200","1,146,373","35,070"," 32,688 "
11207,"33,190","1,206,549","41,190"," 29,292 "
11208,"36,000","1,179,525","41,860"," 28,178 "
11209,"17,580","2,276,910","33,670"," 67,624 "
11210,"23,730","1,888,103","29,050"," 64,995 "
11211,"17,500","1,791,794","30,520"," 58,709 "
11212,"30,950","1,043,007","36,910"," 28,258 "
11213,"22,270","964,964","28,280"," 34,122 "
11214,"25,140","1,563,213","38,430"," 40,677 "
11215,"17,450","3,882,566","34,930"," 111,153 "
11216,"13,400","1,096,986","27,520"," 39,861 "
11217,"7,090","1,941,268","18,380"," 105,618 "
11218,"27,520","1,624,318","32,840"," 49,462 "
11219,"42,220","1,364,843","33,100"," 41,234 "
