Zip,Count,AGI,TotInc
10975,140," 60,157 "," 61,279 "
10976,840," 65,729 "," 66,620 "
10977,"24,790"," 50,750 "," 51,313 "
10980,"7,010"," 78,274 "," 78,989 "
10983,"2,930"," 95,111 "," 96,247 "
10984,"1,310"," 79,667 "," 80,357 "
10985,180," 65,794 "," 67,161 "
10986,900," 88,326 "," 89,590 "
10987,"1,820"," 164,626 "," 167,923 "
10989,"4,940"," 86,034 "," 87,143 "
10990,"9,660"," 98,546 "," 100,017 "
10992,"4,770"," 71,944 "," 72,691 "
10993,"2,480"," 44,469 "," 44,731 "
10994,"3,820"," 108,680 "," 110,607 "
10996,"1,250"," 62,954 "," 63,421 "
10998,"1,500"," 72,183 "," 72,988 "
11001,"13,660"," 81,981 "," 82,887 "
11003,"23,190"," 48,839 "," 49,238 "
11004,"6,690"," 62,860 "," 63,606 "
11005,"1,470"," 119,426 "," 120,515 "
11010,"12,340"," 70,106 "," 70,873 "
11020,"3,020"," 180,216 "," 183,617 "
11021,"9,290"," 160,165 "," 164,055 "
11023,"3,910"," 172,307 "," 176,584 "
11024,"3,190"," 326,438 "," 335,745 "
11030,"8,510"," 318,853 "," 324,483 "
11040,"20,930"," 92,339 "," 93,627 "
11050,"14,680"," 173,486 "," 177,286 "
11096,"3,780"," 37,227 "," 37,609 "
11101,"15,150"," 64,212 "," 65,058 "
11102,"19,520"," 45,609 "," 46,235 "
11103,"20,780"," 45,951 "," 46,639 "
11104,"15,070"," 50,810 "," 51,502 "
11105,"19,470"," 51,945 "," 52,684 "
11106,"21,910"," 47,341 "," 48,005 "
11109,"3,460"," 133,530 "," 135,234 "
11201,"29,680"," 172,262 "," 175,124 "
11203,"36,830"," 36,567 "," 36,808 "
11204,"31,820"," 50,499 "," 51,216 "
11205,"18,110"," 55,531 "," 56,508 "
11206,"35,070"," 32,688 "," 33,139 "
11207,"41,190"," 29,292 "," 29,523 "
11208,"41,860"," 28,178 "," 28,410 "
11209,"33,670"," 67,624 "," 68,601 "
11210,"29,050"," 64,995 "," 65,990 "
11211,"30,520"," 58,709 "," 59,701 "
11212,"36,910"," 28,258 "," 28,471 "
11213,"28,280"," 34,122 "," 34,505 "
11214,"38,430"," 40,677 "," 41,176 "
11215,"34,930"," 111,153 "," 113,518 "
11216,"27,520"," 39,861 "," 40,426 "
11217,"18,380"," 105,618 "," 107,585 "
11218,"32,840"," 49,462 "," 50,313 "
11219,"33,100"," 41,234 "," 41,876 "
11220,"51,970"," 26,169 "," 26,501 "
11221,"36,490"," 31,966 "," 32,306 "
11222,"22,060"," 57,198 "," 58,239 "
11223,"31,240"," 63,109 "," 63,894 "
11224,"19,420"," 36,923 "," 37,408 "
11225,"29,940"," 41,023 "," 41,524 "
11226,"50,400"," 34,180 "," 34,558 "
11228,"18,670"," 57,905 "," 58,632 "
11229,"34,960"," 54,993 "," 55,825 "
11230,"33,900"," 64,233 "," 65,412 "
11231,"16,950"," 110,669 "," 112,897 "
11232,"12,600"," 34,577 "," 35,093 "
11233,"29,660"," 34,313 "," 34,632 "
11234,"41,180"," 58,859 "," 59,490 "
11235,"36,820"," 52,306 "," 53,079 "
11236,"46,150"," 39,808 "," 40,076 "
11237,"22,710"," 30,163 "," 30,626 "
11238,"29,270"," 70,529 "," 71,817 "
11239,"6,790"," 36,548 "," 36,780 "
11354,"28,390"," 35,534 "," 36,064 "
11355,"47,600"," 27,044 "," 27,469 "
11356,"11,830"," 43,040 "," 43,558 "
11357,"19,350"," 75,947 "," 76,951 "
11358,"18,250"," 55,171 "," 55,994 "
11360,"9,940"," 84,112 "," 85,379 "
11361,"13,570"," 62,482 "," 63,312 "
11362,"8,570"," 74,537 "," 75,580 "
11363,"3,370"," 110,046 "," 112,203 "
11364,"17,610"," 63,392 "," 64,249 "
11365,"20,170"," 54,271 "," 54,951 "
11366,"6,590"," 63,717 "," 64,625 "
11367,"18,240"," 54,602 "," 55,466 "
11368,"46,510"," 26,934 "," 27,228 "
11369,"17,340"," 33,848 "," 34,179 "
11370,"13,000"," 41,194 "," 41,697 "
11372,"34,560"," 39,923 "," 40,488 "
11373,"49,090"," 31,378 "," 31,765 "
11374,"22,240"," 55,528 "," 56,295 "
11375,"35,280"," 83,848 "," 85,221 "
11377,"44,400"," 37,662 "," 38,127 "
11378,"17,100"," 49,710 "," 50,221 "
11379,"17,330"," 61,860 "," 62,424 "
11385,"47,450"," 40,653 "," 41,061 "
11411,"10,590"," 47,790 "," 48,062 "
11412,"18,430"," 40,227 "," 40,467 "
11413,"20,830"," 44,883 "," 45,169 "
11414,"12,720"," 63,694 "," 64,303 "
11415,"9,480"," 58,866 "," 59,825 "
11416,"11,740"," 32,395 "," 32,699 "
11417,"14,400"," 39,923 "," 40,246 "
11418,"16,990"," 38,978 "," 39,437 "
11419,"22,960"," 31,800 "," 32,109 "
11420,"21,780"," 38,234 "," 38,544 "
11421,"19,920"," 37,173 "," 37,498 "
11422,"15,860"," 45,762 "," 46,051 "
11423,"14,870"," 43,730 "," 44,203 "
11426,"9,180"," 57,067 "," 57,676 "
11427,"11,490"," 54,114 "," 54,789 "
11428,"9,880"," 43,110 "," 43,451 "
11429,"12,740"," 40,558 "," 40,837 "
11430,170," 49,771 "," 49,988 "
11432,"27,300"," 43,613 "," 44,188 "
11433,"15,530"," 33,301 "," 33,554 "
11434,"31,030"," 39,465 "," 39,714 "
11435,"25,610"," 38,306 "," 38,688 "
11436,"9,030"," 37,033 "," 37,276 "
11501,"10,480"," 71,903 "," 72,765 "
11507,"3,760"," 114,231 "," 116,350 "
11509,"1,330"," 175,300 "," 179,375 "
11510,"17,540"," 69,488 "," 70,252 "
11514,"2,460"," 75,824 "," 76,715 "
11516,"3,260"," 124,598 "," 127,289 "
11518,"5,460"," 101,498 "," 102,829 "
11520,"23,100"," 48,158 "," 48,620 "
11530,"14,180"," 223,282 "," 226,916 "
11542,"13,290"," 74,488 "," 75,674 "
11545,"6,050"," 297,560 "," 302,465 "
11548,650," 112,352 "," 114,794 "
11550,"28,050"," 38,056 "," 38,346 "
11552,"12,610"," 71,738 "," 72,800 "
11553,"14,050"," 40,534 "," 40,818 "
11554,"19,530"," 74,388 "," 75,375 "
11557,"4,040"," 174,709 "," 178,657 "
11558,"3,980"," 69,561 "," 70,478 "
11559,"3,780"," 313,387 "," 318,313 "
11560,"3,400"," 295,183 "," 298,939 "
11561,"18,770"," 88,026 "," 89,381 "
11563,"11,420"," 79,234 "," 80,162 "
11565,"4,730"," 93,762 "," 95,079 "
11566,"18,060"," 110,476 "," 112,559 "
11568,"1,700"," 532,105 "," 540,338 "
11570,"14,130"," 133,908 "," 136,231 "
